title,link,description
Cách nộp thuế thu nhập cá nhân trên eTax,https://vnexpress.net/cach-nop-thue-thu-nhap-ca-nhan-tren-etax-4885016.html,"Một số người gặp khó khăn trong việc tải lên chứng từ, liên kết tài khoản ngân hàng trong ứng dụng eTax khi nộp thuế thu nhập cá nhân."
Vệ tinh VNREDSat-1 gửi hình ảnh về sau hai năm lỗi hệ thống,https://vnexpress.net/ve-tinh-vnredsat-1-gui-hinh-anh-ve-sau-hai-nam-loi-he-thong-4884273.html,"VNREDSat-1 - vệ tinh quang học quan sát Trái Đất đầu tiên của Việt Nam bị lỗi không thu nhận hình ảnh sau 7 năm hoạt động, hiện được khắc phục, hoạt động trở lại."
Mô hình AI cho phép điều khiển robot bằng lời,https://vnexpress.net/mo-hinh-ai-cho-phep-dieu-khien-robot-bang-loi-4884100.html,"MỸNhóm nghiên cứu tại Đại học Brown phát triển MotionGlot, mô hình AI giúp chuyển đổi câu lệnh thành hành động trên robot và nhân vật kỹ thuật số."
Loài gà hôi đến mức kẻ thù phải tránh xa,https://vnexpress.net/loai-ga-hoi-den-muc-ke-thu-phai-tranh-xa-4884533.html,"Do hệ tiêu hóa đặc biệt, gà móng phát ra mùi cực kỳ khó ngửi khiến động vật săn mồi lầm tưởng chúng đang phân hủy hoặc có độc."
Ban nhạc Bức Tường làm tai nghe không dây,https://vnexpress.net/ban-nhac-buc-tuong-lam-tai-nghe-khong-day-4884501.html,Ban nhạc Bức Tường và một công ty sản xuất phụ kiện của Việt Nam cho ra đời tai nghe mang tên Gạch với giá 790.000 đồng. 12
Đề xuất nhiều ưu đãi thuế cho doanh nghiệp làm khoa học công nghệ,https://vnexpress.net/de-xuat-nhieu-uu-dai-thue-cho-doanh-nghiep-lam-khoa-hoc-cong-nghe-4884778.html,"Chính phủ đề xuất miễn thuế thu nhập doanh nghiệp với hoạt động nghiên cứu khoa học, phát triển công nghệ trong 3 năm và trích lập Quỹ phát triển khoa học từ 10% thu nhập hàng năm."
Công ty Mỹ tuyên bố khai thác helium-3 trên Mặt Trăng,https://vnexpress.net/cong-ty-my-tuyen-bo-khai-thac-helium-3-tren-mat-trang-4884534.html,Công ty khởi nghiệp tư nhân Interlune ở Seattle tìm ra cách khai thác helium-3 từ đất Mặt Trăng và ký hợp đồng bán loại khí này hàng chục triệu USD/kg vào năm 2029. 46
Nhiều người trẻ Mỹ mộng làm giàu với meme coin,https://vnexpress.net/nhieu-nguoi-tre-my-mong-lam-giau-voi-meme-coin-4884489.html,"Khi các con đường làm giàu truyền thống trở nên xa vời, nhiều người trẻ Mỹ tìm đến meme coin như một cách ""chơi vé số kiểu mới""."
Cuộc đua khai thác năng lượng từ lòng đất,https://vnexpress.net/cuoc-dua-khai-thac-nang-luong-tu-long-dat-4882374.html,"Nhiều công ty trên thế giới đẩy mạnh khai thác nhiệt từ lòng đất, nguồn năng lượng gần như vô hạn nhưng khó tiếp cận, để sản xuất điện sạch."
Loạt smartphone pin lớn ra mắt năm 2025,https://vnexpress.net/loat-smartphone-pin-lon-ra-mat-nam-2025-4883925.html,"Nhiều smartphone tầm trung ra mắt năm nay trang bị pin trên 5.500 mAh nhưng vẫn có thiết kế mỏng nhẹ, hỗ trợ khả năng kháng nước. 23"
MobiFone eContract - giải pháp cho hợp đồng điện tử an toàn,https://vnexpress.net/mobifone-econtract-giai-phap-cho-hop-dong-dien-tu-an-toan-4884754.html,"Giải pháp MobiFone eContract tích hợp các tính năng bảo mật, cho phép doanh nghiệp ký kết nhanh chóng trên nền tảng số, nhằm nâng hiệu quả vận hành."
