title,link,description
Người Việt kết hôn ngày càng muộn,https://vnexpress.net/nguoi-viet-ket-hon-ngay-cang-muon-4884528.html,"Tuổi trung bình khi kết hôn của người Việt đang ngày càng tăng, nam giới thường lập gia đình lần đầu ở tuổi 29,8 và nữ giới là 27."
Tình dục có giúp tăng miễn dịch?,https://vnexpress.net/tinh-duc-co-giup-tang-mien-dich-4881452.html,"Tình dục không chỉ mang lại khoái cảm, tăng gắn kết trong quan hệ tình cảm mà còn mang nhiều lợi ích đến sức khỏe thể chất, bao gồm ảnh hưởng tích cực đến hệ thống miễn dịch."
Vàng da và ứ mật sơ sinh khác nhau thế nào,https://vnexpress.net/vang-da-va-u-mat-so-sinh-khac-nhau-the-nao-4884614.html,"Vàng da và ứ mật sơ sinh đều liên quan đến chức năng gan, có biểu hiện ban đầu là vàng da, vàng mắt nhưng khác nhau về nguyên nhân, cách điều trị."
Khối u lớn đẩy lệch vách ngăn giữa não cô gái,https://vnexpress.net/khoi-u-lon-day-lech-vach-ngan-giua-nao-co-gai-4884516.html,"TP HCMThảo, 20 tuổi, đau đầu kéo dài, bác sĩ khám phát hiện khối u 6 cm gây giãn não thất, đẩy lệch vách ngăn giữa hai bán cầu não."
Rối loạn tiền đình ở tuổi 15,https://vnexpress.net/roi-loan-tien-dinh-o-tuoi-15-4884515.html,"TP HCMNhung, 15 tuổi, chóng mặt, choáng váng, mất thăng bằng khi di chuyển, nôn ói, đau đầu, bác sĩ chẩn đoán rối loạn chức năng tiền đình. 15"
"Ăn uống thiếu lành mạnh, ít vận động khiến ung thư đại tràng trẻ hóa",https://vnexpress.net/an-uong-thieu-lanh-manh-it-van-dong-khien-ung-thu-dai-trang-tre-hoa-4884407.html,"Lối sống hiện đại với việc ăn uống thiếu lành mạnh, ít vận động, căng thẳng kéo dài là ""ngòi nổ"" khiến ung thư đại trực tràng bùng phát mạnh mẽ, đặc biệt ở giới trẻ. 14"
'Sỏi im lặng' âm thầm gây biến chứng nặng,https://vnexpress.net/soi-im-lang-am-tham-gay-bien-chung-nang-4884329.html,"Sỏi tiết niệu là bệnh lý phổ biến, có thể gây đau đớn dữ dội song một số sỏi nhỏ hoặc nằm yên trong đường tiết niệu không gây triệu chứng rõ ràng, được gọi là ""sỏi im lặng""."
Chuyên gia chỉ ra 4 thực phẩm nên loại khỏi bếp để sống thọ,https://vnexpress.net/chuyen-gia-chi-ra-4-thuc-pham-nen-loai-khoi-bep-de-song-tho-4884235.html,"Chuyên gia Dan Buettner gợi ý loại bỏ một số thực phẩm khỏi nhà bếp nhằm kéo dài tuổi thọ, gồm thịt chế biến sẵn, dồ ngọt, đồ uống có đường và thức ăn vặt nhiều muối."
Thứ trưởng Y tế kêu gọi tập thể dục ít nhất 30 phút mỗi ngày,https://vnexpress.net/thu-truong-y-te-keu-goi-tap-the-duc-it-nhat-30-phut-moi-ngay-4884343.html,"Thứ trưởng Y tế Trần Văn Thuấn kêu gọi người dân hạn chế thức ăn nhanh, nước ngọt có đường, tăng tiêu thụ rau quả, cá, duy trì vận động thể lực tối thiểu 30 phút mỗi ngày. 26"
Mắc ung thư hiếm ở tuổi 20,https://vnexpress.net/mac-ung-thu-hiem-o-tuoi-20-4884246.html,"HÀ NỘIChàng trai 20 tuổi, đi khám do đau hông lưng âm ỉ, đau bẹn trái, uống thuốc không đỡ, kết quả phát hiện ung thư hiếm gặp, di căn phổi, não, gan."
Vì sao dễ đổ bệnh khi mưa nắng thất thường?,https://vnexpress.net/vi-sao-de-do-benh-khi-mua-nang-that-thuong-4881395.html,"Thời tiết chuyển mùa, mưa nắng thất thường khiến miễn dịch cơ thể kém đi, trong khi siêu vi, virus trở nên mạnh mẽ hơn, dễ tấn công gây bệnh hô hấp."
4 món không nên dùng chung với sầu riêng,https://vnexpress.net/4-mon-khong-nen-dung-chung-voi-sau-rieng-4883642.html,"Rượu, cà phê, thực phẩm cay nóng hay các loại thịt bò, cừu, chó và hải sản kết hợp với sầu riêng tạo phản ứng không tốt cho cơ thể."
Cấp cứu cũng phải chờ đến lượt,https://vnexpress.net/cap-cuu-cung-phai-cho-den-luot-4884200.html,"Nam thanh niên 18 tuổi bị tai nạn giao thông vào viện cấp cứu, đang đợi kết quả kiểm tra thì người nhà xông vào phòng la to ""tại sao lâu vậy, cấp cứu mà phải chờ"". 228"
"Đến 30/9, tất cả cơ sở y tế phải dùng bệnh án điện tử",https://vnexpress.net/den-30-9-tat-ca-co-so-y-te-phai-dung-benh-an-dien-tu-4884292.html,"Chính phủ và Bộ Y tế đang nỗ lực thúc đẩy chuyển đổi số với mục tiêu đến ngày 30/9, 100% bệnh viện cả nước sẽ triển khai bệnh án điện tử."
6 dấu hiệu cảnh báo axit uric tăng,https://vnexpress.net/6-dau-hieu-canh-bao-axit-uric-tang-4883789.html,"Nồng độ axit uric trong máu cao không chỉ gây sưng, cứng khớp, đau đớn mà còn mệt mỏi, suy giảm chức năng thận."
Những thời điểm nên khám sức khỏe sinh sản,https://vnexpress.net/nhung-thoi-diem-nen-kham-suc-khoe-sinh-san-4884319.html,"Nữ giới nên đi khám sớm từ khi dậy thì hoặc có quan hệ tình dục để phòng tránh bệnh, bảo vệ sức khỏe tốt hơn."
Lợi ích của kẽm và L- arginine với sức khỏe nam giới,https://vnexpress.net/loi-ich-cua-kem-va-l-arginine-voi-suc-khoe-nam-gioi-4884238.html,"Kẽm hỗ trợ sản xuất testosterone và cải thiện chất lượng tinh trùng, trong khi L-arginine thúc đẩy sản sinh nitric oxide giúp tăng khả năng cương dương."
"Việt Nam và Nga hợp tác nghiên cứu, sản xuất vaccine",https://vnexpress.net/viet-nam-va-nga-hop-tac-nghien-cuu-san-xuat-vaccine-4884341.html,"NGACông ty Vắc xin Việt Nam VNVC và Quỹ Đầu tư Trực tiếp của Nga RDIF ký kết hợp tác chiến lược về nghiên cứu khoa học, chuyển giao công nghệ vaccine, thuốc sinh học."
Capybara có chứa virus dại không?,https://vnexpress.net/capybara-co-chua-virus-dai-khong-4884181.html,"Capybara có chứa virus dại không? Tôi muốn cho con đi xem capybara thường xuyên vì con rất thích, có cần chủng ngừa dại cho con? (Đăng Châu, 35 tuổi, TP HCM)"
Nguy cơ nhiễm sán dây lợn khi ăn lòng se điếu,https://vnexpress.net/nguy-co-nhiem-san-day-lon-khi-an-long-se-dieu-4884236.html,Ăn lòng se điếu không được rửa sạch hoặc nấu chưa chín kỹ có thể nhiễm sán dây lợn.
Kiểm tra để biết bạn có tiếp xúc với chất gây ung thư,https://vnexpress.net/kiem-tra-de-biet-ban-co-tiep-xuc-voi-chat-gay-ung-thu-4884175.html,"Một số tác nhân gây ung thư có thể tồn tại tiềm ẩn trong thức ăn, không khí hoặc trong môi trường làm việc, nhận biết góp phần phòng ngừa, giảm nguy cơ mắc bệnh."
"5 món ăn giúp an thần, dễ ngủ",https://vnexpress.net/5-mon-an-giup-an-than-de-ngu-4884167.html,"Hạt dẻ cười, quả kiwi cung cấp hormone giấc ngủ, còn quả dứa chứa magiê giúp thư giãn cơ bắp, dễ vào giấc hơn."
5 món ăn hỗ trợ cơ thể thanh lọc độc tố,https://vnexpress.net/5-mon-an-ho-tro-co-the-thanh-loc-doc-to-4884165.html,"Không chỉ có nghệ mà rau xanh, quả mọng, ngũ cốc nguyên hạt cũng giàu dinh dưỡng, giúp cơ thể loại bỏ độc tố, tăng miễn dịch và phục hồi tốt hơn."
